code,date,error,layer,phase
GrA-53005,26210,130,V,EPI
GrA-54848,28810,130,VI,UP
GrA-53006,34310,230,XI,UP
GrA-57545,35880,260,XII,UP
GrA-54847,39910,370,XVI,Ahmarian
GrA-57544,35960,230,XVI,Ahmarian
GrA-57598,37320,270,XVI,Ahmarian
GrA-57599,39890,310,XVI,Ahmarian
GrA-53001,34090,220,XVII,Ahmarian
GrA-54846,39850,340,XVII,Ahmarian
GrA-57602,36730,240,XVII,Ahmarian
GrA-57603,38260,260,XVII,Ahmarian
GrA-57542,36290,240,XVIII,Ahmarian
GrA-53004,39390,330,XIX,Ahmarian
GrA-57597,40040,340,XX,Ahmarian
GrA-53000,40550,350,XXII,IUP
