rata_die,weekday,jd,mjd,unix,gregorian_year,gregorian_month,gregorian_day,julian_year,julian_month,julian_day,egyptian_year,egyptian_month,egyptian_day
-214193,sunday,1507231.5,-892769,-80641958400,-586,7,24,-587,7,30,161,7,15
-61387,wednesday,1660037.5,-739963,-67439520000,-168,12,5,-169,12,8,580,3,6
25469,wednesday,1746893.5,-653107,-59935161600,70,9,24,70,9,26,818,2,22
49217,sunday,1770641.5,-629359,-57883334400,135,10,2,135,10,3,883,3,15
171307,wednesday,1892731.5,-507269,-47334758400,470,1,8,470,1,7,1217,9,15
210155,monday,1931579.5,-468421,-43978291200,576,5,20,576,5,18,1324,2,18
253427,saturday,1974851.5,-425149,-40239590400,694,11,10,694,11,7,1442,9,10
369740,sunday,2091164.5,-308836,-30190147200,1013,4,25,1013,4,19,1761,5,8
400085,sunday,2121509.5,-278491,-27568339200,1096,5,24,1096,5,18,1844,6,28
434355,friday,2155779.5,-244221,-24607411200,1190,3,23,1190,3,16,1938,5,18
452605,saturday,2174029.5,-225971,-23030611200,1240,3,10,1240,3,3,1988,5,18
470160,friday,2191584.5,-208416,-21513859200,1288,4,2,1288,3,26,2036,6,23
473837,sunday,2195261.5,-204739,-21196166400,1298,4,27,1298,4,20,2046,7,20
507850,sunday,2229274.5,-170726,-18257443200,1391,6,12,1391,6,4,2139,9,28
524156,wednesday,2245580.5,-154420,-16848604800,1436,2,3,1436,1,25,2184,5,29
544676,saturday,2266100.5,-133900,-15075676800,1492,4,9,1492,3,31,2240,8,19
567118,saturday,2288542.5,-111458,-13136688000,1553,9,19,1553,9,9,2302,2,11
569477,saturday,2290901.5,-109099,-12932870400,1560,3,5,1560,2,24,2308,7,30
601716,wednesday,2323140.5,-76860,-10147420800,1648,6,10,1648,5,31,2396,11,29
613424,sunday,2334848.5,-65152,-9135849600,1680,6,30,1680,6,20,2428,12,27
626596,friday,2348020.5,-51980,-7997788800,1716,7,24,1716,7,13,2465,1,24
645554,sunday,2366978.5,-33022,-6359817600,1768,6,19,1768,6,8,2517,1,2
664224,monday,2385648.5,-14352,-4746729600,1819,8,2,1819,7,21,2568,2,27
671401,wednesday,2392825.5,-7175,-4126636800,1839,3,27,1839,3,15,2587,10,29
694799,sunday,2416223.5,16223,-2105049600,1903,4,19,1903,4,6,2651,12,7
704424,sunday,2425848.5,25848,-1273449600,1929,8,25,1929,8,12,2678,4,17
708842,monday,2430266.5,30266,-891734400,1941,9,29,1941,9,16,2690,5,25
709409,monday,2430833.5,30833,-842745600,1943,4,19,1943,4,6,2691,12,17
709580,thursday,2431004.5,31004,-827971200,1943,10,7,1943,9,24,2692,6,3
727274,tuesday,2448698.5,48698,700790400,1992,3,17,1992,3,4,2740,11,27
728714,sunday,2450138.5,50138,825206400,1996,2,25,1996,2,12,2744,11,7
744313,wednesday,2465737.5,65737,2172960000,2038,11,10,2038,10,28,2787,8,1
764652,sunday,2486076.5,86076,3930249600,2094,7,18,2094,7,5,2843,4,20
